"filename", "language", "C#", "XML", "JavaScript", "HTML", "CSS", "Python", "JSON", "comment", "blank", "total"
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Task_Card.Designer.cs", "C#", 191, 0, 0, 0, 0, 0, 0, 44, 7, 242
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Task_Card.cs", "C#", 178, 0, 0, 0, 0, 0, 0, 0, 40, 218
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Task_Item.Designer.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 38, 6, 207
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Task_Item.cs", "C#", 120, 0, 0, 0, 0, 0, 0, 4, 27, 151
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UrC_Crumbs.Designer.cs", "C#", 74, 0, 0, 0, 0, 0, 0, 23, 7, 104
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UrC_Crumbs.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Expost.Designer.cs", "C#", 118, 0, 0, 0, 0, 0, 0, 35, 7, 160
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Expost.cs", "C#", 154, 0, 0, 0, 0, 0, 0, 11, 35, 200
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_General.Designer.cs", "C#", 137, 0, 0, 0, 0, 0, 0, 38, 7, 182
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_General.cs", "C#", 111, 0, 0, 0, 0, 0, 0, 3, 15, 129
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Message.Designer.cs", "C#", 130, 0, 0, 0, 0, 0, 0, 38, 6, 174
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Message.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Privacy.Designer.cs", "C#", 150, 0, 0, 0, 0, 0, 0, 41, 6, 197
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Settings\UC_Setting_Privacy.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 0, 9, 80
"e:\Materials\【LOOP】\Assignment\miniSys0.3\CsharpRepairerIncDataSet.Designer.cs", "C#", 8451, 0, 0, 0, 0, 0, 0, 117, 737, 9305
"e:\Materials\【LOOP】\Assignment\miniSys0.3\CsharpRepairerIncDataSet.xsd", "XML", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 1004
"e:\Materials\【LOOP】\Assignment\miniSys0.3\FormFloating.Designer.cs", "C#", 138, 0, 0, 0, 0, 0, 0, 29, 6, 173
"e:\Materials\【LOOP】\Assignment\miniSys0.3\FormFloating.cs", "C#", 120, 0, 0, 0, 0, 0, 0, 9, 21, 150
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000001.html", "HTML", 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000002.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000003.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000004.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000005.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000006.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000007.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000008.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000009.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000010.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000011.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000012.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000013.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000014.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000015.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000016.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000017.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000018.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000019.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000020.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000021.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000022.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000023.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000024.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000025.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000026.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000027.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000028.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Html\Articles\Art000029.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
